name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns,Mean Deviant Coefficient
OnRender,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,336,524362423,4.200882,279,1879435,654836,203234168,12801399.81,
onImGUIRender,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,493,308926,0.002475,279,1107,774,6468,439.678582,
Material,H:\Year 3\PerformantRendering\cw24-Bluhzies\DemonRenderer\src\rendering\material.cpp,34,119371983,0.956338,584784,204,90,1091123,1722.788258,
UBO,H:\Year 3\PerformantRendering\cw24-Bluhzies\DemonRenderer\src\buffers\UBOmanager.cpp,25,2529502,0.020265,4185,604,33,131871,3277.430484,
Entity,H:\Year 3\PerformantRendering\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,86,508217733,4.07154,584784,869,258,5350042,18134.81949,
Draw,H:\Year 3\PerformantRendering\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,100,229567829,1.839162,584784,392,32,5329208,16334.00019,
TenthBottomCircleDraw,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,385,16782,0.000134,249,67,41,4471,281.435183,
CloseShipCircles,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,428,37243,0.000298,249,149,61,378,57.542901,
CloseTargetQuads,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,436,15570,0.000125,249,62,41,498,52.555731,
Material,H:\Year 3\PerformantRendering\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,90,425323366,3.407439,584784,727,212,5346541,16817.80104,
FourthQuadDraw,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,358,17791,0.000143,249,71,47,244,25.514069,
UIBegin,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,344,46300,0.000371,279,165,30,1937,284.109254,
Run,H:\Year 3\PerformantRendering\cw24-Bluhzies\DemonRenderer\src\core\application.cpp,25,7043684462,56.429833,278,25336994,22673981,283207156,15679821.43,
OnUpdate,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,452,52233541,0.418464,279,187216,55,420557,69368.20995,
CheckWaypointCollision,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,515,9441584,0.07564,249,37918,35290,50125,2564.867257,
RPass,H:\Year 3\PerformantRendering\cw24-Bluhzies\DemonRenderer\src\rendering\renderer.cpp,55,522648859,4.187153,4185,124886,637,200602524,3290461.376,26.34772013
SeventhTopCircleDraw,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,403,11548,0.000093,249,46,41,166,9.548264,
TargetCircles,H:\Year 3\PerformantRendering\cw24-Bluhzies\application\src\GAMR3531.cpp,420,48716,0.00039,249,195,134,1236,100.019776,
